CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0112,0.8035,C0120,0.799,C0192,0.7534
C0002,C0106,0.9065,C0159,0.8954,C0134,0.8842
C0003,C0129,0.8186,C0151,0.7835,C0031,0.7773
C0004,C0113,0.9527,C0104,0.8594,C0102,0.8323
C0005,C0007,0.9469,C0140,0.8789,C0186,0.7892
C0006,C0187,0.7975,C0171,0.758,C0168,0.6728
C0007,C0005,0.9469,C0140,0.8739,C0186,0.7286
C0008,C0098,0.8606,C0194,0.8579,C0024,0.8122
C0009,C0198,0.8782,C0058,0.7503,C0061,0.7498
C0010,C0062,0.8237,C0061,0.7078,C0111,0.7058
C0011,C0153,0.8775,C0171,0.8656,C0126,0.8331
C0012,C0039,0.8011,C0163,0.7512,C0195,0.7385
C0013,C0087,0.825,C0099,0.8211,C0102,0.7775
C0014,C0060,0.8964,C0097,0.8225,C0128,0.7278
C0015,C0131,0.8462,C0036,0.7053,C0123,0.641
C0016,C0183,0.8945,C0067,0.773,C0042,0.734
C0017,C0075,0.9345,C0041,0.8416,C0124,0.8171
C0018,C0117,0.7915,C0046,0.68,C0026,0.6444
C0019,C0121,0.7596,C0119,0.6559,C0070,0.6493
C0020,C0050,0.8352,C0026,0.765,C0130,0.7413
